Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","2300000","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","107.16","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","1910000","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","345579.16","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","43653.91","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5023","Transformés","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","4678.5","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","2350000","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","710","Afrique du Sud","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","g/personne/jour","108.4","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","12912","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17280","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","30192","E","Valeur estimée",""
