Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","694","Sierra Leone","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","18210.71","I","Valeur imputée",""
"QCL","Cultures et produits animaux","694","Sierra Leone","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","20644","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","694","Sierra Leone","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","20232.11","I","Valeur imputée",""
"QCL","Cultures et produits animaux","694","Sierra Leone","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","22986","I","Valeur imputée",""
"QCL","Cultures et produits animaux","694","Sierra Leone","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","19748.04","I","Valeur imputée",""
"QCL","Cultures et produits animaux","694","Sierra Leone","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","22461","I","Valeur imputée",""
"QCL","Cultures et produits animaux","694","Sierra Leone","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","19808.25","I","Valeur imputée",""
"QCL","Cultures et produits animaux","694","Sierra Leone","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","22554","I","Valeur imputée",""
"QCL","Cultures et produits animaux","702","Singapour","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","74749.55","I","Valeur imputée",""
"QCL","Cultures et produits animaux","702","Singapour","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","48323","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","702","Singapour","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","77723.44","I","Valeur imputée",""
"QCL","Cultures et produits animaux","702","Singapour","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","51400","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","702","Singapour","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","81100.36","I","Valeur imputée",""
"QCL","Cultures et produits animaux","702","Singapour","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","50462","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","702","Singapour","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","79848","I","Valeur imputée",""
"QCL","Cultures et produits animaux","702","Singapour","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","50997","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","702","Singapour","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","75961.95","I","Valeur imputée",""
"QCL","Cultures et produits animaux","702","Singapour","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","49384","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","702","Singapour","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","45562.06","I","Valeur imputée",""
"QCL","Cultures et produits animaux","702","Singapour","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","30161","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","703","Slovaquie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","69656","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","703","Slovaquie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","45134","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","703","Slovaquie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","73080","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","703","Slovaquie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","47071","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","703","Slovaquie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","70100","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","703","Slovaquie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","46559","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","63383","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","38012","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","64020","A","Chiffre officiel",""
