Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","710","Afrique du Sud","5609","Importations - Quantité","02151","Poulets","2021","2021","1000 têtes","487","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","02151","Poulets","2021","2021","1000 US$","11856","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5909","Exportations - Quantité","02151","Poulets","2021","2021","1000 têtes","6451","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","02151","Poulets","2021","2021","1000 US$","9855","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","480345.55","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","410502","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","58258.84","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","87683","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","487157.13","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 US$","417529","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","45029.23","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 US$","75599","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","459494.95","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 US$","356928","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","43549.11","A","Chiffre officiel",""
